Score_Band,Transactions,Fraud_Count,Fraud_Rate
"(-1, 200]",5570,132,2.36983842010772
"(200, 300]",16335,7,0.042852770125497396
"(300, 400]",39524,8,0.02024086630907803
"(400, 500]",23727,1,0.004214607830741349
"(500, 600]",287,0,0.0
"(600, 700]",0,0,
"(700, 800]",0,0,
"(800, 900]",0,0,
"(900, 1000]",0,0,
